Instance,Algorithme,Max_Flow,Duree_Totale,Activites_Valides,Activites_Invalides,Utilisation_Ressources,Efficacite_Ordonnancement
inst_set1a_sf0.5_nc1.5_n20_m10_00,EFT,22,135,22,0,0.163,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_00,HRPW*,22,135,22,0,0.163,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_00,HRU1,22,135,22,0,0.163,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_00,HRU2,22,135,22,0,0.163,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_00,LFT,22,135,22,0,0.163,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_00,LST,22,135,22,0,0.163,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_00,MTS,22,135,22,0,0.163,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_00,STFD,22,135,22,0,0.163,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_00,TIMRES,22,135,22,0,0.163,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_00,TIMROS,22,135,22,0,0.163,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_01,EFT,22,136,22,0,0.1618,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_01,HRPW*,22,136,22,0,0.1618,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_01,HRU1,22,136,22,0,0.1618,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_01,HRU2,22,136,22,0,0.1618,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_01,LFT,22,136,22,0,0.1618,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_01,LST,22,136,22,0,0.1618,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_01,MTS,22,136,22,0,0.1618,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_01,STFD,22,136,22,0,0.1618,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_01,TIMRES,22,136,22,0,0.1618,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_01,TIMROS,22,136,22,0,0.1618,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_02,EFT,22,119,22,0,0.1849,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_02,HRPW*,22,119,22,0,0.1849,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_02,HRU1,22,119,22,0,0.1849,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_02,HRU2,22,119,22,0,0.1849,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_02,LFT,22,119,22,0,0.1849,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_02,LST,22,119,22,0,0.1849,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_02,MTS,22,119,22,0,0.1849,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_02,STFD,22,119,22,0,0.1849,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_02,TIMRES,22,119,22,0,0.1849,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_02,TIMROS,22,119,22,0,0.1849,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_03,EFT,22,131,22,0,0.1679,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_03,HRPW*,22,131,22,0,0.1679,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_03,HRU1,22,131,22,0,0.1679,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_03,HRU2,22,131,22,0,0.1679,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_03,LFT,22,131,22,0,0.1679,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_03,LST,22,131,22,0,0.1679,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_03,MTS,22,131,22,0,0.1679,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_03,STFD,22,131,22,0,0.1679,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_03,TIMRES,22,131,22,0,0.1679,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_03,TIMROS,22,131,22,0,0.1679,1.0
inst_set1a_sf0.5_nc1.5_n20_m10_04,EFT,22,155,22,0,0.1419,1.0
