Instance,HRPW*_Makespan,HRPW*_Time,LST_Makespan,LST_Time,LFT_Makespan,LFT_Time,MTS_Makespan,MTS_Time,TIMROS_Makespan,TIMROS_Time,HRU1_Makespan,HRU1_Time,TIMRES_Makespan,TIMRES_Time,HRU2_Makespan,HRU2_Time,STFD_Makespan,STFD_Time,EFT_Makespan,EFT_Time,Best_Algorithm,Best_Makespan,HRPW*_Gap,LST_Gap,LFT_Gap,MTS_Gap,TIMROS_Gap,HRU1_Gap,TIMRES_Gap,HRU2_Gap,STFD_Gap,EFT_Gap
inst_set1a_sf0.75_nc1.5_n20_m25_05,110,0.0000,110,0.0000,110,0.0000,110,0.0000,110,0.0000,110,0.0000,110,0.0000,110,0.0000,110,0.0000,110,0.0000,HRPW*,110,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
inst_set1a_sf0.5_nc1.5_n20_m15_02,107,0.0000,107,0.0001,107,0.0001,107,0.0000,107,0.0000,107,0.0003,107,0.0000,107,0.0000,107,0.0000,107,0.0000,HRPW*,107,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
inst_set1a_sf1_nc1.8_n20_m25_02,111,0.0000,111,0.0000,111,0.0000,111,0.0000,111,0.0000,111,0.0000,111,0.0000,111,0.0000,111,0.0000,111,0.0000,HRPW*,111,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
inst_set1a_sf0_nc1.8_n20_m10_03,102,0.0000,102,0.0000,102,0.0000,102,0.0000,102,0.0001,102,0.0000,102,0.0000,102,0.0000,102,0.0000,102,0.0000,HRPW*,102,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
inst_set1a_sf0.75_nc2.1_n20_m25_04,132,0.0000,132,0.0000,132,0.0000,132,0.0001,132,0.0000,132,0.0000,132,0.0000,132,0.0001,132,0.0000,132,0.0000,HRPW*,132,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
inst_set1a_sf0.5_nc2.1_n20_m13_00,129,0.0000,129,0.0000,129,0.0000,129,0.0000,129,0.0000,129,0.0000,129,0.0000,129,0.0000,129,0.0000,129,0.0000,HRPW*,129,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
inst_set1a_sf0_nc1.5_n20_m20_05,119,0.0000,119,0.0001,119,0.0000,119,0.0000,119,0.0000,119,0.0001,119,0.0000,119,0.0000,119,0.0000,119,0.0000,HRPW*,119,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
inst_set1a_sf0.5_nc1.5_n20_m15_01,115,0.0001,115,0.0000,115,0.0001,115,0.0000,115,0.0000,115,0.0000,115,0.0000,115,0.0000,115,0.0000,115,0.0000,HRPW*,115,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
inst_set1a_sf1_nc1.5_n20_m30_04,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0001,109,0.0000,HRPW*,109,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
inst_set1a_sf1_nc2.1_n20_m25_05,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0000,109,0.0001,HRPW*,109,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
