Algorithm,Avg_Makespan,Min_Makespan,Max_Makespan,Std_Makespan,Avg_Time,Wins,Success_Rate
LFT,77.3425925925926,28,136,24.45124699803322,0.00028142333030700684,136,100.0
MTS,77.74074074074075,35,136,24.197009375221665,0.0002836198718459518,122,100.0
EFT,78.04629629629629,30,136,23.835437466974103,0.00027347935570610897,109,100.0
LST,79.125,33,136,23.59972654551861,0.00028615086166946976,96,100.0
HRPW*,79.125,33,136,23.59972654551861,0.00026927391688028973,96,100.0
HRU1,80.25462962962963,38,136,22.79442969188891,0.00027800268597073026,100,100.0
HRU2,84.50462962962963,46,136,21.075059145865346,0.00027347604433695477,71,100.0
TIMRES,84.50462962962963,46,136,21.075059145865346,0.00027131151269983364,71,100.0
TIMROS,84.78703703703704,47,136,20.807445414283546,0.0002978311644660102,73,100.0
STFD,87.76851851851852,42,136,20.161029173380214,0.00027583815433360914,62,100.0
